"Data Engineer
new",Just posted,Piper Companies,"Basking Ridge, NJ","Piper Companies is exclusively supporting a full time, direct hire opportunity for a Data Engineer in Basking Ridge, NJ to support an international post-startup company with a customer analytics platform to support key clients in the telecommunications industry.

Responsibilities for the Data Engineer:
Define and prototype new approaches to our existing data enrichment techniques
Create entirely new kinds of data enrichment that add value to customer profiles
Define metrics for assessing the quality of the data we produce
Implement validation frameworks and methodologies to regularly measure data against these metrics
Find & share insight from client data
Research enrichment approaches
Analyze and model client data
Ensure seamless data ingestion and manage all new data feeds requests including streamlining data audit and QA work
Work closely with client and 3rd party stakeholders to support friction less integration of CIP data outputs into downstream systems

Requirements for the Data Engineer:
Solid understanding of at least one programming language, preferably Scala or Python
Ability to handle big data
Experience of at least one RDBMS
Some knowledge of statistical modeling and machine learning
Some experience at a CSP (Communication Service Provider), focusing on B2C big data customer analytics (ideally recent tools and techniques)

Compensation for the Solutions Architect:
$170,000/year W2, negotiable and commensurate with experience
Employer benefit package with Medical, Dental, Vision, 401k with match, PTO, Holidays
Remote due to COVID with normal expectancy of ~2 days onsite after

Keywords: data engineer, big data, scala, python, rdbms, oracle, sql, statistics, analysis, data modeling, data analysis, statistical modeling, csp, communication service provider, b2c, business to consumer, customer analytics, consumer analytics, spark, mapreduce, map reduce, nlp, nosql data privacy, data security, saas, software as a service, telecommunications, telecom, fintech, financial technology, finance technology, benefits, holiday, pto, paid time off, 401k, medical, dental, vision, remote",4.4,10 reviews
"Adjunct/Part Time Faculty; School of Data Science
new",Just posted,UNC Charlotte,"Charlotte, NC 28262 (University City South area)","UNC Charlotte is accepting applications for adjunct or part-time faculty. These positions are temporary and usually involve teaching a particular course or courses for a particular semester. These positions are temporary and do not accrue benefits. Responsibilities could include: Developing and/or updating course syllabus, preparation of lectures, projects, or other student assignments, meeting all designated class periods, maintaining regularly scheduled office hours, grading student assignments and exams in a timely manner, submitting completed mid-semester progress reports and final grades according to University regulations. As an EOE/AA employer and an ADVANCE Institution that strives to create an academic climate in which the dignity of all individuals is respected and maintained, the University of North Carolina at Charlotte encourages applications from all underrepresented groups. Applicants subject to criminal background check.
Minimum Qualifications:
Faculty teaching undergraduate courses: doctorate or master?s degree in the teaching discipline or master?s degree with a minimum of 18 graduate semester hours in the teaching discipline. Faculty teaching graduate courses: earned doctorate / terminal degree in the teaching discipline or a related discipline. UNC Charlotte gives primary consideration to the highest earned degree in the discipline. UNC Charlotte also considers competence, effectiveness, and capacity, including, as appropriate, undergraduate and graduate degrees, related work experiences in the field, professional licensure and certifications, honors and awards, continuous documented excellence in teaching, or other demonstrated competencies and achievements that contribute to effective teaching and student learning outcomes.
Position Number:
EPTF50
Posting Date:
06/18/2020
Closing Date:
08/30/2020
American Recovery & Reinvestment Act Funded:",4.4,524 reviews
"Data Scientist / Statistician
new",Today,Scientific Technologies Corporation,"Phoenix, AZ 85004 (Central City area)","Preventable illnesses still kill tens of thousands of people every year, however there is hope. Through vaccines, public health prevention programs and data intelligence, the impact of the flu, pneumonia, measles, whooping cough, cervical cancer, and many more diseases is diminished. The battle is fought every day to ensure that communities are prepared, proactive, and empowered for any event or outbreak from bioterrorism and newly emerging disease, such as COVID-19, to the old diseases that never left.
Make an impact and join us in this fight at the front lines.
Your Role and Impact
As our Data Scientist / Statistician, you will work within STChealth's Consumer and Analytics Division alongside our Epidemiologist to explore, interpret and explain data trends and patterns to stakeholders of all levels. You will work with the analytics team in developing machine learning algorithms to automate and scale a variety of processes and explore business use cases where machine learning algorithms can be implemented. This is a great opportunity to join a team that is on the cutting edge of healthcare analytics.
About You
You have a Masters or PhD in Applied Mathematics, Statistics or Computer Science
You have experience with statistical computer languages (R, Python) and can manipulate data and draw insight and conclusions from large data sets
You have experience developing advanced quantitative models using a variety of programs and software to support predictive assessments and other advanced mathematical techniques (ex. Neural Network, Random Forest, linear regression)
You have 5 or more years in predictive modeling and large data analysis (healthcare industry preferred)
You can easily communicate business interpretations of data to a wide variety of audiences in easy-to-understand terms
You enjoy working in a highly collaborative environment where bringing new ideas and fresh perspectives is part of the culture
About Us
As one of the Phoenix Business Journal's Best Places to Work 2019 awardees, you will find that we are a highly engaged group of people, motivated and passionate about creating intelligent solutions for healthier communities all over the world.
Located in Phoenix's Warehouse District, we are proud to be a part of the dynamic and creative PHX Core Innovation Hub. We have an open-office layout with an urban feel and lots of room for collaboration and inspiration to feed all the great ideas that start here.
Benefits? Ours are outstanding. Some of the highlights include a 100% company-paid medical plan, 401(k) matching, work-from-home perks, casual dress code, and an amazing amount of paid time off.
When you choose STChealth you will be choosing a small company where you can make a big contribution. You'll be choosing a long-standing industry leader who has a 32+ year history but a start-up mentality. And you'll be choosing to join a team of people determined to reduce the impact of preventable disease and empower people throughout the healthcare ecosystem worldwide.
-
Must be a United States citizen or have authorization to work in the United States as defined by the Immigration Act of 1986.
Scientific Technologies Corporation is an equal opportunity employer and makes employment decisions without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected Veteran status.",3.3,6 reviews
"Data Scientist
new",Today,HP,,"As Data Scientist in the Pricing Analytics team you will shape HP’s future of how we set prices. We are a very dynamic, highly skilled and diverse global team consisting of economists, statisticians, engineers, scientists or even musicians, who are pushing the innovation frontier in pricing. Working with us you will combine your economic thinking, statistical modeling, experimentation and optimization methods to build complex pricing algorithms for most popular Printers and PCs in the market.
About you:
You have deep interests in customer and market behavior and methods to measure and anticipate it
You are passionate about unveiling answers to most difficult questions using data and models
You feel accomplished seeing your pricing recommendations being implemented while shopping for yourself
You can’t stop thinking about learning something new every day and enjoy being surrounded by highly talented people
Key responsibilities:
Develop and apply statistical methods and experimentation to analyze the effect of pricing and sales decisions on business performance
Collaborate with internal stakeholders to design and deploy pricing initiatives based upon analytical findings
Present results and recommendations to relevant stakeholders, including senior leadership
Requirements:
Must-haves:
At least 3 years’ working experience in data science, ideally in a consumer-focused setting
Experience in designing, deploying, and analyzing in-market experiments and/or AB tests
Ability to think creatively and invent original solutions to business and modelling challenges
Proficiency with R and/or Python is required
Proficiency in Microsoft Excel and Microsoft PowerPoint
Excellent written and verbal communication skills with an ability to influence key decision makers
Master's or PhD degree in Quantitative Marketing, Business, Statistics, Economics, Psychology, or other relevant quantitative discipline
Bonus points for:
Interest in pricing, economics, and consumer behavior
Experience in deploying data science in a retail environment
Understanding of CRM and customer segmentation
Knowledge of price optimization approaches, price discrimination models and a general knowledge of main concepts from the industrial organization literature
Basic understanding of finance and product economics
Experience in project and/or product management
Reinventing since 1939. We are one of the leading Print and Personal Systems technology companies in the world and our vision is to create technology that makes life better for everyone, everywhere. Joining HP is joining an adventure to reinvent the tech world and reinvent yourself every day!
#LI-post",4.0,"12,814 reviews"
"Data Scientist
new",Today,Natera,"San Carlos, CA 94070","POSITION SUMMARY

The Data Scientist participates in the design and prototyping of cutting edge algorithms for analysis of genetic data.

PRIMARY RESPONSIBILITIES
Analyze next-generation sequencing data ranging from single research experiments to commercial data sets of hundreds of thousands of samples.
Develop Python software infrastructure to support algorithm testing and simulation studies.
Contribute to research and product development efforts in the statistics group.
Produce correct conclusions based on rigorous mathematical analysis and principles of statistics and probability.
Produce high quality technical documentation including research reports and algorithm specifications.
QUALIFICATIONS
Bachelor’s degree in engineering, applied math, statistics, or similar, Master’s degree preferred
At least 1 year practical experience in scientific data analysis using software such as Python
KNOWLEDGE, SKILLS, AND ABILITIES
Strong foundation in probability theory and/or statistics including concepts like joint and conditional probability distributions, parameter estimation and hypothesis testing
Excellent verbal and written communication skills and the desire to work in a dynamic and collaborative environment.
Desire to learn about human genetics and sequencing technologies.
PHYSICAL DEMANDS AND WORK ENVIRONMENT
Duties are typically performed in an office setting.
This position requires the ability to use a computer keyboard, communicate over the telephone and read printed material.
Duties may require working outside normal working hours (evenings and weekends) at times.
OUR OPPORTUNITY

Driven by the passion for elevating the science and utility of genetic testing, Natera is committed to helping families identify and manage genetic diseases. Natera is a rapidly-growing diagnostics company with proprietary bioinformatics and molecular technology for analyzing DNA. Our complex technology has been proven clinically and commercially in the prenatal testing space and we are actively researching its applications in the liquid biopsy space for developing products with oncology applications.

The Natera team consists of highly dedicated statisticians, geneticists, doctors, laboratory scientists, business professionals, software engineers and many other professionals from world-class institutions, who care deeply for our work and each other. When you join Natera, you’ll work hard and grow quickly. Working alongside the elite of the industry, you’ll be stretched and challenged, and take pride in being part of a company that is changing the landscape of genetic disease management.

WHAT WE OFFER

Competitive Benefits. Healthy catered lunches, Premium snacks and beverages, Onsite gym with cardio and weight-training equipment, Game room with satellite TV, Onsite dry cleaning and alteration service with pick-up and delivery, Employee-organized sport leagues, Happy hours and BBQs, Generous Employee Referral program.

For more information, visit www.natera.com.

Natera is proud to be an Equal Opportunity Employer. We are committed to ensuring a diverse and inclusive workplace environment, and welcome people of different backgrounds, experiences, abilities and perspectives. Inclusive collaboration benefits our employees, our community and our patients, and is critical to our mission of changing the management of disease worldwide.

All qualified applicants are encouraged to apply, and will be considered without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, age, veteran status, disability or any other legally protected status. We also consider qualified applicants regardless of criminal histories, consistent with applicable laws.",2.8,89 reviews
"Data Analyst, Customer Success
new",Today,Square,"San Francisco, CA 94103 (South of Market area)","Company Description
Square believes the economy is better when everyone has access. No one should be left out because the cost is too great or the technology too complex. We started with a little white credit card reader but haven’t stopped there. We’re empowering the independent electrician to send invoices, setting up the favorite food truck with a delivery option, helping the ice cream shop pay its employees, and giving the burgeoning coffee chain capital for a second, third, and fourth location. We’re here to help sellers of all sizes start, run, and grow their business—and helping them grow their business is good business for everyone.

Job Description
Square is looking for a curious and creative Data Analyst to join our Customer Success Analytics team to provide decision support for our leaders and customer advocates across our Customer Success organization.
Location: Open to San Francisco, CA, Scottsdale, AZ, St Louis, MO, or Atlanta, GA

You will:
Collaborate with other talented Analysts in the team to create data infrastructure, calculate metrics, build dashboards and track trends in customers’ journeys and customer advocates’ experience
Work well in a fast paced environment within our highly distributed organization and be comfortable dealing with ambiguity
Partner with stakeholders across Customer Success to provide data-driven insight by applying descriptive and predictive analytics where it will have measurable impact
Deploy a diverse set of methodologies including statistics, quantitative reasoning, or machine learning to research and produce insights
Communicate reporting outcomes and improvement areas effectively to stakeholders
Apply out of the box thinking, problem-solving abilities and operational experience to derive solutions
Handle multiple projects at a time, deliver to the objectives on time
Learn and grow a lot on the job, build strong partnerships. Hope you will have fun doing it

Qualifications
You have:
Bachelor's degree in Statistics, Information Science, Computer Science, Mathematics or Economics is desirable
1 - 3 years of analytics, business intelligence, data science experience or equivalent
Proficient in SQL, Python and query optimization, familiar with ETL process, experience with data modeling, reporting and visualization.
Fluency with data analytics and visualization tools such as Looker, Power BI, Jupyter Notebook, Tableau or ThoughtSpot
Experience applying statistical or machine-learning techniques to solve practical customer problems such as trending issues, calculating churn, cross selling, clustering searches is desirable
Familiarity with data warehouse design and best practices
Exceptional communication, critical thinking, and interpersonal skills
Ability to present complex issues in a clear and concise manner
Strong organizational skills and the ability to prioritize and manage multiple projects simultaneously with complex and demanding timelines

Additional Information

At Square, we value diversity and always treat all employees and job applicants based on merit, qualifications, competence, and talent. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the San Francisco Fair Chance Ordinance. Applicants in need of special assistance or accommodation during the interview process or in accessing our website may contact us by sending an email to assistance(at)squareup.com. We will treat your request as confidentially as possible. In your email, please include your name and preferred method of contact, and we will respond as soon as possible.

Perks

At Square, we want you to be well and thrive. Our global benefits package includes:
Healthcare coverage
Retirement Plans
Employee Stock Purchase Program
Wellness perks
Paid parental leave
Flexible time off
Learning and Development resources",3.7,100 reviews
"Clinical Data Engineer - Enterprise Data & Analytics, Full-t...
new",Today,Flagler Hospital,"Saint Augustine, FL 32086","Job Description Details



Job Title:
Clinical Data Engineer






Summary



Comments
Under the supervision of the Enterprise Director Data and Analytics, the Clinical Data Engineer provides data management design, development and support for both clinical report writing and statistical analyses for use in research studies and evaluations conducted at Flagler Health +.






Education / Training

Degree/Diploma Obtained
Program of Study


High School Diploma or Equivalent


_________________________________________________________________________________
Preferences
Preferred: Bachelor's Degree in related field of study such as informatics, public health, or health care desirable.
Skills & Abilities: Experience conducting analyses on databases, Strong computer and quantitative skills, Demonstrated strong written, organizational and verbal skills required, Ability to manage multiple projects, meet deadlines, and work in a team environment. Accurate and detail-oriented and shows commitment to and performs consistently high quality work. Experience working with an ethnically, culturally, and racially diverse work staff preferred. Ability to work harmoniously with diverse groups of individuals required.
Experience Requirements

Min Experience
Type of Experience




_________________________________________________________________________________
Preferences
Preferred: One to two years’ experience in a health care setting desirable. Knowledge of SQL and Tableau, Experience working with an Electronic Medical Record (EMR) systems and ICD-9/10 codes a plus.
Licensing Requirements

Certificates/Licenses/Registration




_________________________________________________________________________________
Preferences
Working Conditions

Condition Type
Frequency
Specifics


Indoor
Constant (66-100% of workday)

High Temperatures
Not Applicable

Loud Noise
Not Applicable

Confined Areas
Not Applicable

Outdoor
Not Applicable

Cold Temperatures
Not Applicable

Fumes
Not Applicable

Physical Demands

Demand Type
Frequency
Specifics


Standing/Walking
Occasional (0-33% of workday)

Sitting
Frequently (33-66% of workday)

Reaching, Twisting
Occasional (0-33% of workday)

Balancing/Climbing
Not Applicable

Stooping/Kneeling
Not Applicable

Driving
Not Applicable

Talking
Frequently (33-66% of workday)

Seeing
Constant (66-100% of workday)

Hearing
Constant (66-100% of workday)

Weight Demands

Demand Type
Frequency
Specifics


1-25 lbs. Lifting, Carrying, Pulling/Pushing
Occasional (0-33% of workday)

25-50 lbs. Lifting, Carrying, Pulling/Pushing
Not Applicable

50+ lbs. Lifting, Carrying, Pulling/Pushing
Not Applicable

Intellectual Demands

Demand Type
Frequency
Specifics


Problem Solving
Occasional (0-33% of workday)

Supervise
Not Applicable

Organize
Frequently (33-66% of workday)

Plan
Frequently (33-66% of workday)

Decision Making
Occasional (0-33% of workday)

Interpret Data
Frequently (33-66% of workday)

Write
Frequently (33-66% of workday)

Reading
Constant (66-100% of workday)

Equipment Use

Equipment Type
Frequency
Specifics


Telephone
Occasional (0-33% of workday)

Computer (Beginner Level)
Constant (66-100% of workday)

Computer (Intermediate Level)
Frequently (33-66% of workday)

Computer (Advanced Level)
Occasional (0-33% of workday)

Copier/Fax
Occasional (0-33% of workday)

Patient Testing Equipment
Not Applicable

Patient Transport Equipment
Not Applicable


Occupational Exposure


Occupational Exposure
Category III = Job involves tasks or procedures that have no exposure to blood and other potentially infectious materials during the performance of duties.


Essential Responsibilities


In cooperation with the Enterprise Director Data and Analytics, accurately provides data management, design and support for various health system clinical databases. Assists with development design of cloud strategy of managing data for high-end analytics.

Creates Stored Procedures, Views and Functions for clinical reports for deployment on Reporting Service, Sunrise Applications and vendor requested extracts. Writes queries to integrate, extract and manipulate data from disparate internal and external data sources including the electronic medical record and practice management systems. Optimizes existing database objects as necessary to maximize query performance.

Manages and creates innovative data transfer solutions using SSIS and other Integration technologies. Assists in the design and implementation of efficient data flow systems as specified by protocol objectives. Helps to manage Enterprise Data Warehouse including creating database scripts and ETL scripts to normalize data from incoming systems.

Develops design documents as needed and assists/guides quality checking/validation process.

Optimizes existing reports for clinical systems, including Allscripts Sunrise Suite and OR systems. Manages and designs operational and analytical reports and visualizations in clinical EMR application, (Allscripts Sunrise and CPM) SSRS, and Tableau. Troubleshoots inconsistencies with data and data collection and makes recommendations for more consistent document entry requirements to ensure data integrity.

Assists in developing database tools for data entry, report generation and qualitative and quantitative analysis queries.

Maintains and updates Meaningful Use/MIPS and CMS Quality Reporting.

Provides statistical support and analyses for various clinical variation studies: Performs data analyses as required. Collates and analyzes data collected from electronic medical record system using basic descriptive statistics, cross tabulations and other advanced statistical methods. Works with staff to analyze existing data for presentations, reports and papers.

Assists in analytical strategy: Assists in designing and developing surveys, questionnaires, and data collection tools. Assists in developing work plan and conceptual model for studies that require data mining and data analysis.

Disseminates study results and data: Manages the retrieval and appropriate presentation of data for the various stakeholders. Maintains current knowledge of other research in this field by reading related articles and journals, attending conferences and presentations as necessary.

Core Competencies




Safety
Makes sure to understand every safety practice expected by the organization. Takes no shortcuts that increase the risks of accidents, personal injuries or equipment failures. Looks for unsafe practices in the workplace and takes responsibility to ensure that others are aware of the potential impact. This is distinctly different from those who are unaware of many safety expectations, take shortcuts that increase safety risks, and/or fail to recognize and take timely action to increase safe practices by others.


Quality of Work
Has established a track record of producing work that is highly accurate, demonstrates attention to detail and reflects well on the organization. Is personally committed to high quality work and encourages others to have similar standards. This differs from those who cannot be relied upon to produce high quality work, pay little attention to detail, show little pride in a job well done and/or set a poor example for co-workers or direct reports.


Teamwork
Is an effective team player who adds complementary skills and contributes valuable ideas, opinions and feedback. Communicates in an open and candid manner and can be counted upon to fulfill any commitments made to others on the team. This is distinctly different from those who withhold ideas and opinions, offer ideas or opinions that rarely add value to team discussions, have established a track record with many unmet commitments, and/or have not contributed skills that complement the skills of others on the team.


Continuous Improvement
Finds it unacceptable when patient and customer outcomes could be improved. Takes personal responsibility for maintaining and upgrading own knowledge, skills and abilities to ensure that service delivery is safe, efficient and effective. Strives to stay abreast of new approaches to healthcare. Demonstrates full commitment to quality improvement initiatives by taking an active role, being a positive model and by encouraging others to be equally committed and accountable. Is proactive in calling attention to service delivery deficiencies or opportunities and offers concrete suggestions for improving processes and systems that affect quality of care and productivity.


Education and Self Development
Makes it a practice to take charge of self-development by soliciting feedback, setting priorities, and then acquiring or strengthening skills and knowledge through coursework or other methods. This is in distinct contrast to those who avoid, discount or ignore feedback, fail to identify self-improvement needs or resist learning opportunities as unnecessary or untimely.





Commitment to Accountabilities



At Flagler Hospital, certain values shape and influence all of our decisions and actions. These accountabilities are demonstrated through adherence to our core competencies and represented each day in our commitment to patients and their families, visitors, and our team members.




Employee Statement of Understanding



The above statements reflect the responsibilities considered essential to the job as identified and shall not be considered a detailed description of all the work requirements inherent to the job. I agree to perform other job duties as assigned.

I have read and understand the job description for my position. I am able to perform all of the essential functions of this position.

As an employee, I will strive to uphold the mission and vision of the Flagler Hospital. All employees are required to adhere to the values in all their interactions with patients, customers, and fellow employees.",3.6,174 reviews
"Software Engineer, Data
new",Today,Etsy,"Chicago, IL 60657 (Lake View area)","Company Description
Reverb is a leading online marketplace for buying and selling new, used, and vintage musical instruments. Since launching in 2013, Reverb has grown into a vibrant community of buyers and sellers all over the world. By focusing on inspiring content, price transparency, musician-focused eCommerce tools, a music-savvy customer service team, and more, Reverb has created an online destination where the global music community can connect over the perfect piece of music gear.
Our core belief is that music makes the world a better place. Through Reverb Gives, a portion of every sale provides students, teachers, and leaders of music programs across the world with instruments they need.

Job Description
Our Engineering organization takes pride in crafting extraordinary software in service of our mission. We take an active role in product ownership by measuring the impact of features we release, collaborating with internal partners, fixing bugs, and ultimately building products and features that have a measurable impact on the business. Our team works together, pairing on design and coding patterns, peer-reviewing code, and elevating other developers through continuous mentorship and learning opportunities.
As part of Reverb’s Data Engineering team, you’ll help build a platform to enable confident, informed decisions and products that scale along with our business. We are a small, forward-thinking team looking for creative engineers who can face a wide range of problems, researching and implementing innovative solutions that make the most of our data.
Responsibilities
Maintain and improve our data pipeline and data warehouse to ensure our users have timely access to accurate data. Our current stack uses Python, Airflow, Redshift, DBT, Looker, and more.
Collaborate with data analysts and other internal partners across the organization to find exciting insights within our data and make them available to our product teams.
Partner with our data science team to model, train, and apply machine learning models to new areas within our product.
Build and share a deep understanding of your chosen languages, framework, or other area of expertise. Push yourself and the team to be continuously learning and growing.
Demonstrate a sense of ownership for your work including understanding requirements, crafting solutions, and building robust testing plans to ensure the highest data quality.
Participate in pairing sessions, code reviews and other team rituals.

Qualifications
We use a wide variety of languages, frameworks, and databases, so there are many skills and experiences that would make you a good fit for our team, including, but not limited to:
Python and/or Ruby experience, either in web applications or data engineering applications.
ETL pipelines and data warehousing solutions such as Airflow or Redshift.
Relational databases including data modeling, performance and other optimizations, and SQL queries.
Understanding of different types of data storage and their trade-offs.
High-level understanding and/or interest in machine learning techniques and their applications.
Ability to work and connect with engineering peers, data analysts, and other business partners.
Familiarity with AWS infrastructure.
Experience in agile development.

Additional Information
At Reverb we believe that a diverse, equitable and inclusive workplace makes us a more relevant, more competitive, and more resilient company. We welcome people from all backgrounds, ethnicities, cultures, and experiences. Etsy is an equal opportunity employer. We do not discriminate on the basis of race, color, ancestry, religion, national origin, sexual orientation, age, citizenship, marital or family status, disability, gender identity or expression, veteran status, or any other legally protected status. We will ensure that individuals with disabilities are provided a reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment.
We know that the imposter syndrome and confidences gap are real. Please do not hesitate to apply!
#LI-DNI",4.4,51 reviews
"Cleared China Analyst - Subject Matter Expert
new",Today,Thresher,"Arlington, VA 22201 (Clarendon-Courthouse area)","Company Description
We are seeking an analyst with a TS/SCI clearance and Mandarin language skills to contribute to our team of China subject matter experts. We can offer you the unusual position of a job with mission and sunlight. The job will entail research, analysis, and writing. Daily responsibilities include reviewing, analyzing, summarizing, and reporting on incoming data.

Thresher. Thresher helps organizations find high-value signals hidden in the noisy world of human-generated text data. We identify content hidden from standard search approaches or at risk for manipulation. Better content leads to better analysis, and better analysis leads to better decisions. Thresher is a collaborative team of Ph.D.-level data scientists and a former intelligence officer who understands the needs of experts conducting high stakes analyses that have real impact.

Job Description
What You’ll Do:
Use our internal data platform and proprietary data science tools to identify trends and anomalous events, and interpret these findings for clients.
Write reports ranging from time sensitive alerts to in-depth analysis on current events.
Communicate your analysis to our customer base, and act as a customer success advocate to continuously improve the quality of our product.
Research and explore new data sources in English and Mandarin.
Work with our data scientists and engineers to develop novel technology that improves Thresher’s capacity to turn data into actionable insights.
Deliver insights on existing initiatives and come up with innovative product growth opportunities.
Represent analytic excellence and consistently challenge our team’s assumptions.

Qualifications
Must have a TS/SCI clearance. We recruit at other times during the year for Subject Matter Experts without clearances and strongly encourage you to check back regularly for our latest openings; however, at this time only applicants with an active TS/SCI will be considered.
Skills you must demonstrate:
Professional fluency in Mandarin required (level comparable to HSK V, TOCFL 5, or DLPT/ILR 3).
Deep knowledge of Chinese culture, including modern history and society.
Knowledge of international relations and/or the Asia-Pacific region (China in particular).
Strong experience writing clear and concise reports.
Demonstrated initiative and problem solving skills.
Well-organised and efficient; great with deadlines.
Basic technical proficiency (e.g., adept in Microsoft Office, Google Docs suite).
You do not need to have data analytics or engineering experience for this job, but you should show interest and capacity to learn new skills as you will be working closely with technical teams.
Skills that are differentiators:
Our Subject Matter Experts come from a wide range of backgrounds and expertise. We’d love to hear what makes you uniquely able to serve our customers. Some of the qualities that have made SMEs stand out in the past include:
A passion for communicating findings visually with charts, graphics, and visually pleasing templates.
Love to solve problems with code, easily turning to Python or R to scrape, clean, and visualize data. Takes pride in forming complex boolean queries to isolate answers.
Extensive in-country experience and a nuanced understanding of Chinese social media
A “futurist” in analysis, with exposure to ElasticSearch/ELK Stack, machine learning, and/or natural language processing.
Broad exposure to the federal government and an on-going passion for mission.
Collaboration with teams of diverse specialties, and a love for integrating the best each brings to the table.

Additional Information
Why Thresher? This is a great opportunity to collaborate on a team with diverse data and social science experience and work on challenging technical problems with a meaningful mission in the national security and commercial sectors. Our team is made up of veteran entrepreneurs and world-class data scientists, engineers, and subject matter experts.
Compensation is competitive and includes paid time off for 20 days of vacation, 9 federal holidays, and 9 days of sick leave. We cover 100% of health care premiums for employees and 50% of premiums for spouses and dependents as well as the premiums for short and long-term disability plus life insurance. We match your contributions to a SIMPLE IRA up to 3% of your salary.
How to Apply. If you are interested, please submit (1) a cover letter describing a challenging problem you solved and why you are interested in working with Thresher, and (2) a resume.
All applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. We welcome applications from veterans. If you have a disability or special need that requires accommodation, please let us know.
All your information will be kept confidential according to EEO guidelines.",,
"D3Js JavaScript Expert - Data Visualization Engineer
new",Today,"Buy It Installed, Inc.","Irvine, CA","Our Vision
To engineer deeply affirmational experiences, at unlimited scale, for all people in the Buy It Installed® EcoSystem, through advancements in artificial empathy, with one-click simplicity.
Learn more about the groundbreaking work we are doing here.

The ideal candidate is passionate about telling stories with data and can drive the development process from initial prototype through implementation of the final product
You will design and develop data-driven, dynamic user-facing interactive dashboard and visualization tools with high-performing responsiveness, usability and visual appeal.
You will implement solutions using JavaScript-based data visualization libraries and tools (d3Js, CartoDb.js)
Requirements
Track record of building intuitive and interactive visualizations (a portfolio you can share is a plus!)
Ability to prototype and transform ideas into polished visualization products quickly
In depth knowledge of JavaScript with extensive experience with d3js
Fluency in other complementary JavaScript-based tools and frameworks or scripting language such as Python is desirable
Experience analyzing data using Python a plus
Knowledge in graphic design like Gestalt principles, layout, color
Experience connecting front-end interfaces with SQL or NOSQL
Collaboration: working across teams and functional areas to define needs, identify opportunities, and make sure projects move forward.
Leadership: growth mindset, ability to work independently, set priorities, collaborate with others, and deliver quality products
Benefits
Generous compensation and bonus plan
Full suite of health benefits
Paid time off
Paid holidays
Catered team member Friday lunch
Monthly social events (roller skating, volleyball, billiards)
Casual dress code
Fully stocked kitchen with snacks and drinks
Wonderful colleagues",1.5,4 reviews
