"Data Engineer
new",Just posted,Perspective Talent LLC,,"Senior Data Engineer
Type: Full time / Direct Hire
Location: Remote until at least Jan 20201, but will probably be available long term. Main office is in Wilmington, NC.
Salary: $70-$80k/yr
Senior Data Engineer Responsibilities:
Testing programs or databases, correcting errors and making necessary modifications
Planning, coordinating and implementing security measures (including regular audits) to safeguard information in databases and computer files against accidental or unauthorized damage, modification or disclosure
Assisting with automating ETL processes, data mining and data management
Developing reference and workflow documents for documentation purposes
Senior Data Engineer Qualifications:
Bachelor’s degree or Associates Degree with certifications
6+ years experience in database management or database reporting-related field
Strong knowledge in SQL Server, including SSIS
Strong knowledge of TFS (Team Foundation Server), Source Control, and Visual Studio
Experience with .Net/C# or other object oriented programming languages preferred
Experience in an Agile Scrum environment preferred
Preferred certifications include MTA, MCSA, MCSE, ITIL v3, Note: applicable certification(s) may be substituted to equivalent degree requirements.
Senior Data Engineer Benefits Include:
Flexible Work Schedules
Health Insurance - no premium for employee coverage
Flexible Spending Accounts
Paid vacation and sick leave, plus 10 paid holidays
Retirement pension, plus 401k with 3% employer match
Student Loan Forgiveness - Qualifying Employer
Job Type: Full-time
Pay: $70,000.00 - $80,000.00 per year
Schedule:
Monday to Friday",,
"Data Science (with AI Bots & RASA) Developer
new",Just posted,Raditech LLC,"Charlotte, NC","As a member of the Digital Channel Technology’s A.I. team you will take an active role in the definition and evolution of standard practices and procedures within Machine Learning and Conversational AI at Ally.
Responsibilities:
Assist in defining specifications for significant new projects and perform professional software development tasks associated with the developing, designing and debugging of software applications according to the specifications. Additionally, provide leadership and expertise in the development of new products, services and processes.
Qualifications:
3+ years’ experience developing large scale, highly available distributed systems
Strong knowledge of multiple, modern progradmming languages such as Java, GO, Python, Swift or C/C++
Good experience in RASA.
Experience with Natural Language Processing and state of the art AI learning techniques such as voice recognition, speech recognition and text recognition
Strong sense of ownership, passion to build quality products for massive scale in collaborative, agile environment and excitement to learn.
BS / MS / PhD in in Computer Science, Math or related engineering fields or equivalent practical experience
1) Years of experience required for position – 3+
2) Location for the position - Charlotte
Job Type: Full-time
Pay: $100,000.00 - $180,000.00 per year
Schedule:
Monday to Friday
Experience:
AI: 1 year (Preferred)",,
"BHJOB15656_15057 – Data Engineer
new",Just posted,Myticas Consulting,,"The growing team at Myticas Consulting is looking for an experienced Data Engineer who would be interested in a contract to hire opportunity offered within the Elmhurst, Illinois region.
Plenty of perks and benefits included upon hire.
Must be an American Citizen
Qualifications:
5+ years of experience working with enterprise data platforms, building and managing data lakes and using big data technologies
2+ years of experience with Spark using Python/Scala. Experience with Spark streaming, building real time data pipelines is preferred
2+ years of experience working with AWS platform. Experience with solutioning on AWS infrastructure using services like AWS S3, Lambda, EMR, Redshift (or Snowflake)
Experience with automating and orchestrating jobs on a big data platform using Oozie, Airflow, Jenkins or something similar
Good understanding and experience working with various products in the Big data ecosystem like Hive, HDFS, Presto, NoSQL databases like Cassandra, DynamoDB
Experience with setting up and using Kafka for real time streaming is a big plus
Has to be a team player and open to working with newer technologies as well as supporting legacy systems
Prior experience with working in a SQL server based environment and using SSIS, SSRS, TSQL is a plus.
Prior experience with traditional ETL tools like Talend Open Studio, Pentaho or something similar is a plus
Candidates looking to apply for this role are to send us an updated version of their resume in confidence. Our team will be sure to review all applicants and follow up accordingly at the conclusion of the review process.
Job is also known as: Data Engineer
INDMY",,
"Lead Data Engineer
new",Just posted,Medly Pharmacy,"Brooklyn, NY 11206 (Williamsburg area)","We’re Medly, a human-centered digital pharmacy that prioritizes patient well-being. Our mission is to deliver prescriptions to patients at prices they can afford - regardless of income, lifestyle, language or diagnosis. We live our mission to democratize healthcare by leveraging technology to create accessible tools for improving lives. Visit us online at www.MedlyPharmacy.com.
We are looking for a Lead Data Engineer with the desire to make an impact and help us achieve our patient-centric vision.
Your overall mission:
As a Lead Data Engineer, you’ll support the scaling of our data science infrastructure and capability through mentoring and growing engineers by providing resources and establishing best practices. You’ll manage the team’s organizational communications as an advocate for data science, ensuring that your colleagues’ satisfaction with their contributions.
What you’ll do:
Adopt and establish best practices for data infrastructure and data governance
Manage technical debt and anticipate data science and business intelligence needs
Manage the data engineering roadmap and help to bring the organization towards an automated, scalable and fault-tolerant infrastructure
Coach engineers and team members on translating business requirements into technical designs and solutions
Create opportunities for continuous learning and professional development
Manage third-party relationships
What you’ll gain:
Competitive compensation and benefits
Fantastic room for growth and development
The ability to make a noticeable impact and improve lives
What you’ll need:
5 or more years of experience working with data technologies (BI or data science) including time spent leading data teams
B.S. in Computer Science, Mathematics, Statistics, Engineering or a related field
Experience with SQL, R, Python, Java, SPSS, Tableau or other business intelligence tools
Experience working in cloud platforms (AWS, Azure)
Experience working with cross-functional product teams
Proven track record translating and productionizing machine learning algorithms
Ability to maintain data infrastructure and scalable applications
Strong understanding of data warehouse and application from design to deployment
Knowledge of best practices for SDLC, source control and testing
Work on complex BI ecosystems and design / develop solutions
Passion for mentoring colleagues
Medly Pharmacy is an equal opportunity employer. We proudly celebrate diversity and are devoted to creating an inclusive environment for all employees regardless of race, color, religion, national origin, sex, sexual orientation, age, disability, military service, or any other non-merit factor.
Job Type: Full-time
Benefits:
401(k)
Dental Insurance
Flexible Schedule
Health Insurance
Paid Time Off
Vision Insurance
Schedule:
Monday to Friday
Work Location:
One location
Company's website:
https://www.medlypharmacy.com/
Work Remotely:
Temporarily due to COVID-19",4.3,80 reviews
"Enterprise Data- Solutions Engineer
new",Today,Bloomberg,,"We're Bloomberg Enterprise Data - fast paced, innovative and expanding. We have worked hard and smart to become the business we are today. We partner closely with our clients, taking time to understand their unique businesses and individual data and technology needs. We provide a vast number of data sets that cover all asset classes, via multiple delivery technologies and flexible scheduling options. This means our clients get exactly the data they need, when they need it, in the format they prefer. Without us, they simply can't operate.
The Role:
We're looking for a passionate, motivated, highly technical, client facing individual to come join our team. As a Solutions Engineer, you'll be providing programming and best practice consultation directly to our internal and external clients for the integration of our Enterprise Data products and services. You'll be a quick study, eager to develop your understanding of the Bloomberg Enterprise Data Products and our customer base, in order to technically lead client engagements as well as provide a third tier of technical expertise for complex issues. You'll drive the partnership with other teams to understand client requirements, communicate product improvements, and assist with all client development needs. You'll adopt and embrace our cultural and innovative best practices and solutions in order to quickly and accurately identify and address highly technical problems. You'll be solution focused, able to quickly and accurately perform detailed & meaningful diagnostic work & troubleshooting, developing additional tools where you see a need internally or for our clients. You're a programming and technical professional who is personable, intelligent, analytical and solution driven. You are not afraid of getting your hands dirty and making independent decisions when the situation demands.
We'll Trust You To:
Work closely with technical and market data contacts at client firms to understand their requirements and help them to build out solutions using Bloomberg's Enterprise Data Technology such as BLAPI & HAPI.
Collaborate with peers, sales, technical account managers and service delivery teams to drive critical client on-boarding initiatives, technology partnerships and highly technical projects.
Proactively identify ideas to help drive stronger product performance and implement those ideas from start to finish.
Provide technical development guidance, leadership & structure to Enterprise Data clients.
Cultivate deep technical partnerships with key members of the client development community.
Building strong stakeholder relationships with clients, engineering and product development teams to resolve issues or build out enhancements.
Actively identify potential areas of improvement or gaps in internal tools & monitoring systems and propose solutions.
Administer training to clients for coding to our API during the pre-sale, implementation and adoption phases of an engagement.
Support the developer community around Bloomberg's data delivery mechanisms.
Provide timely and informative feedback to the Enterprise Data Product teams.
Take ownership of complex questions and issues reported by clients as a second tier of technical support via phone calls, ticket systems, email, and in person.
You'll Need To Have:
Strong client facing experience, be presentable & able to articulate complex technical concepts to all skill levels.
Strong organisational skills, attention to detail and the ability to handle multiple technical streams / lead client engagements whilst collaborating across different teams.
At least 3-5 years of development experience.
Bachelor's degree in Computer Science or Information Systems/Technology or equivalent experience.
Industry experience with software development .NET, Java, C++, C# and Python.
Experience programming in UNIX and/or Windows.
Excellent written/verbal communication skills.
The ability to communicate complex information to a wide range of skill levels both in verbal and written form.
Excellent analysis and problem solving skills.
Experience writing readable example code.
Confident to work with clients ranging from developers to CTOs.
We'd Love To See:
Exposure and understanding of Financial Data, especially Real Time Market Data is helpful.
Knowledge of market data distribution platforms and feed handlers is preferred.
Knowledge and experience of Big Data, Data Science and Cloud technologies.
Knowledge and experience with Hypermedia APIs.
Experience developing on public cloud platforms, AWS, GCP and Azure.
Ability to derive requirements from stakeholders via email, meetings, and conference calls, relay this to internal groups, plan detailed technical engagements and facilitate client adoption of Bloomberg's Enterprise Data products and services.
UNIX skills with ability to investigate technical issues or willingness to learn
Exposure to Perl is useful (for some of the older tools)
Experience with database querying languages such as SQL, NoSQL or similar
Exposure to architectural design in order to facilitate client adoption of Bloomberg's Enterprise Data products and services
If This Sounds like You:
Apply if you think we're a good match! We'll get in touch to let you know what the next steps are, but in the meantime feel free to have a look at this:
https://www.bloomberg.com/professional/solution/data-and-content

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, colour, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",3.9,811 reviews
"Data Engineer
new",Today,Vanguard,"Malvern, PA","Core Responsibilities
1. Writes ETL (Extract / Transform / Load) processes, designs database systems, and develops tools for real-time and offline analytic processing.
2. Troubleshoots software and processes for data consistency and integrity. Integrates large scale data from a variety of sources for business partners to generate insight and make decisions.
3. Translates business specifications into design specifications and code. Responsible for writing complex programs, ad hoc queries, and reports. Ensures that all code is well structured, includes sufficient documentation, and is easy to maintain and reuse.
4. Partners with internal clients to gain an enhanced understanding of business functions and informational needs. Gains expertise in tools, technologies, and applications/databases in specific business areas and company-wide systems.
5. Leads all phases of solution development. Explains technical considerations at related meetings, including those with internal clients and less experienced team members.
6. Tests code thoroughly for accuracy of intended purpose. Reviews end product with the client to ensure adequate understanding. Provides data analysis guidance as required.
7. Designs and conducts training sessions on tools and data sources used by the team and self provisioners. Provides job aids to team members and business users.
8. Tests and implements new software releases through regression testing. Identifies issues and engages with vendors to resolve and elevate software into production.
9. Participates in special projects and performs other duties as assigned.

Qualifications
Minimum of five years data analytics, programming, database administration, or data management experience.
Undergraduate degree or equivalent combination of training and experience.
About Vanguard
We are Vanguard. Together, we’re changing the way the world invests.
For us, investing doesn’t just end in value. It starts with values. Because when you invest with courage, when you invest with clarity, and when you invest with care, you can get so much more in return. We invest with purpose – and that’s how we’ve become a global market leader. Here, we grow by doing the right thing for the people we serve. And so can you.
We want to make success accessible to everyone. This is our opportunity. Let’s make it count.
Inclusion Statement
Vanguard’s continued commitment to diversity and inclusion is firmly rooted in our culture. Every decision we make to best serve our clients, crew (internally employees are referred to as crew), and communities is guided by one simple statement: “Do the right thing.”
We believe that a critical aspect of doing the right thing requires building diverse, inclusive, and highly effective teams of individuals who are as unique as the clients they serve. We empower our crew to contribute their distinct strengths to achieving Vanguard’s core purpose through our values.
When all crew members feel valued and included, our ability to collaborate and innovate is amplified, and we are united in delivering on Vanguard's core purpose.
Our core purpose: To take a stand for all investors, to treat them fairly, and to give them the best chance for investment success.",3.8,994 reviews
"Data Scientist
new",Today,UNITED PARCEL SERVICE,"Alpharetta, GA","Data Scientist
We’re the obstacle overcomers, the problem get-arounders. From figuring it out to getting it done… our innovative culture demands “yes and how!” We are UPS. We are the United Problem Solvers.
About Information Management at UPS Technology:
Our Information Management teams are responsible for designing and supporting data solutions to meet UPS’s rapidly changing business needs. Our team is comprised of individuals who are experts in data management, compliance and governance. We ensure quality, completeness, availability, protection, understanding and effective use of our data assets. Our ability to organize and design data provides the foundation which enables many of UPS’ core processes.
About this role:
The Data Scientist will leverage advanced analytics to solve some of the most interesting business problems across the UPS enterprise. As a key member of a growing global team, he/she will operate in a fast-paced environment and take on multiple roles. He/she will have access to large volumes of structured and unstructured data as well as the ability to allocate vast computing resources, including GPU’s, to speed up work. The candidate will employ tools and applications that can fast-track manual steps such as ETL, data exploration, etc. He/she will have the opportunity to research and experiment with innovative new techniques in machine learning, statistics, and operations research. The candidate will have the freedom to attend conferences and training sessions, and collaborate with partner universities, to further skillset. The selected candidate will primarily serve in an individual contributor role with a focus on hands-on technical work. However, he/she may be asked to take on non-technical assignments such as business requirements gathering.
Responsibilities:
Provides expertise on computational, quantitative, and algorithmic techniques applicable to data science
Performs data wrangling, ETL, and data exploration tasks
Builds predictive and prescriptive models, algorithms, and simulations
Collaborates with cross-functional teams of data scientists, data engineers, application developers, etc. to deliver measurable outcomes
Identifies and champions new initiatives aimed at delivering value to business stakeholders
Manages multiple work streams while proactively responding to competing demands
Evaluates open-source and vendor-based tools, such as applications, platforms, frameworks and programming languages
Minimum Qualifications:
Master's degree in a quantitative or computational field such as statistics, operations research, computer science, physics, engineering, mathematics, economics, or related discipline
2+ years of industry experience in a technical role, preferably in a data science capacity
Intermediate knowledge of R or Python
Some knowledge of the following: Generalized Linear and Non-Linear Models, Time Series Analysis, Random Forest, Gradient Boosted Machines, Neural Networks, Unsupervised Methods (Dimensionality Reduction, Clustering, etc.)
Experience querying relational data systems for ETL and data integration tasks
Good communications skills with ability to present to technical and business audiences
Experience using Spark/Hadoop systems for distributed analytics and data processing
Preferred Qualifications:
PHD degree
Knowledge of any of the following: Natural Language Processing & Text Mining, Experimental Design, Computer Vision & Image Processing, Bayesian Networks, Reinforcement Learning, Collaborative Filtering, Network/Graph Mining, Combinatorial Optimization, Linear & Mixed-Integer Programming, Discrete-Event & Stochastic Simulation
Knowledge of: H2O.ai, TensorFlow, SAS
Familiarity with scaling and operationalizing data science models in production settings
Experience working in a cloud-computing environment such as AWS, Azure, GCP, etc
Prior exposure to the transportation or logistics industry
This position offers an exceptional opportunity to work for a Fortune 50 industry leader. If you are selected, you will join our dynamic technology team in making a difference to our business and customers. Do you think you have what it takes? Prove it! At UPS, ambition knows no time zone.

UPS is an equal opportunity employer. UPS does not discriminate on the basis of race/color/religion/sex/national origin/veteran/disability/age/sexual orientation/gender identity or any other characteristic protected by law",3.8,"41,668 reviews"
"Data engineer - System Analyst
new",Today,State Street,"Quincy, MA 02169","Who we are looking for
As a Data Engineer-System Analyst you will be responsible for designing agnostic data models that support a consistent common format and terminology that aligns with Data Governance guidelines. You will collaborate with development teams to design and build innovative solutions that support client deliverables and overall data strategy.
What you will be responsible for
As Data Engineer-System Analyst you will
Analyze and organize data into meaningful business concepts
Design efficient data models that support common model strategy
Map raw information from different sources into common terms and structures
Evaluate business needs and objectives to design solutions that meet client deliverables
Collaborate with developers to design, build and test life cycle for data ingestion
Coordinate Design Review Sessions
Collaborate with Data Governance in incorporating common model into IGC
Utilize tools for mapping (DEH/IDW) , modeling, and creation of AVRO schemas
What we value
These skills will help you succeed in this role
Strong technical, strategic and business analysis skills with the ability to solve complex problems
The ability to manage resources and project to meet deadlines.
Written and verbal communication skills
Strong experience in designing data models that are efficient, agnostic to source, scalable and performs as required
Education & Preferred Qualifications
BS degree in Computer science or related degree
5 years demonstrated experience in related field
Experience with SQL
Experience with Data Modeling tools: Visio, Erwin and Toad Data Modeler
Knowledge and experience working within financial services and related data domains
Why this role is important to us
Our technology function, Global Technology Services (GTS), is vital to State Street and is the key enabler for our business to deliver data and insights to our clients. We’re driving the company’s digital transformation and expanding business capabilities using industry best practices and advanced technologies such as cloud, artificial intelligence and robotics process automation.
We offer a collaborative environment where technology skills and innovation are valued in a global organization. We’re looking for top technical talent to join our team and deliver creative technology solutions that help us become an end-to-end, next-generation financial services company.
Join us if you want to grow your technical skills, solve real problems and make your mark on our industry.
About State Street
What we do. State Street is one of the largest custodian banks, asset managers and asset intelligence companies in the world. From technology to product innovation we’re making our mark on the financial services industry. For more than two centuries, we’ve been helping our clients safeguard and steward the investments of millions of people. We provide investment servicing, data & analytics, investment research & trading and investment management to institutional clients.
Work, Live and Grow. We make all efforts to create a great work environment. Our benefits packages are competitive and comprehensive. Details vary in locations, but you may expect generous medical care, insurance and savings plans among other perks. You’ll have access to flexible Work Program to help you match your needs. And our wealth of development programs and educational support will help you reach your full potential.
Inclusion, Diversity and Social Responsibility. We truly believe our employees’ diverse backgrounds, experiences and perspective are a powerful contributor to creating an inclusive environment where everyone can thrive and reach their maximum potential while adding value to both our organization and our clients. We warmly welcome the candidates of diverse origin, background, ability, age, sexual orientation, gender identity and personality. Another fundamental value at State Street is active engagement with our communities around the world, both as a partner and a leader. You will have tools to help balance your professional and personal life, paid volunteer days, matching gift program and access to employee networks that help you stay connected to what matters to you.
State Street is an equal opportunity and affirmative action employer.
Discover more at StateStreet.com/careers",3.5,"2,848 reviews"
"Data Warehouse Engineer
new",Today,Piper Companies,"Fort Washington, PA","Piper Companies is looking for a Data Warehouse Engineer for a financial services company located in Horsham, PA.

Responsibilities for the Data Warehouse Engineer:
Partner with data analysts/data modeler to develop code from source to target mapping for the development of brand new data warehouse
Focus on low level security/column level security

Qualifications for the Data Warehouse Engineer:
5+ years of Data Engineering experience
Heavy focus on data warehousing work using SQL Server, MySQL, NoSQL
Experience with AWS - Redshift, Kinesis, Snow Flake
Understanding of column level security
Knowledge of data modeling and data marts
Knowledge of SDLC and usage of PPM too (Jira, Rally, Azure DevOps)
Excellent presentation and interpersonal skills - communication is key

Compensation/Benefits for the Data Warehouse Engineer:
$75-85/hr W2 (12+ months)
Comprehensive benefit package; Medical, Dental, Vision, 401k

Keywords:
data warehouse engineer, data warehouse architect, big data engineer, data engineer, aws engineer, database developer, senior etl developer, senior database engineer, powerbi, microstrategy, tableau, qlik, cognos sql, sql server, ssis, ssrs, ssas, etl, database design, data warehouse, big data, Hadoop, apache, spark, nosql, unit testing, teradata, data lake, data warehouse, aws, redshift, snowflake, data marts, data model, glue, business objects, informatica, benefits, 401k",4.4,10 reviews
"Data Science Analyst
new",Today,"Torch Technologies, Inc.","Huntsville, AL 35802","Job Description:
Torch Technologies is seeking a Junior Level Data Science Analyst to support modernizing our BMDS system analysis capability. The ideal candidate is adept at manipulating large data sets to identify trends and generate metric to better understand BMDS system performance. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve our processes and development of analytical results that we provide to the BMDS community. Good communication and presentation skills are required. Experience with performing BMDS analysis of is desired. Must possess the ability to clearly express ideas/concepts, perform as part of a team, and be capable of operating in a multi-tasking environment. Other activities include establishing requirements for evaluation tools and processes, providing analytical support to the test planning process, and development and coordination of analytical results within the BMDS community



Job Requirements:
B.S. Degree and 0-2 years’ experience
Experience using computer languages (R, Python, SLQ, etc.) and visualization tools (Tableau) to manipulate data and draw insights from large data sets.
Experience evaluating and analyzing data to evaluate systems and performance
Excellent written and verbal skills
Proficiency with MSOffice (Word, Excel and PowerPoint).
DOD Secret Security Clearance

Desired Qualifications
Experience in analysis of MDA Ballistic Missile Defense System (BMDS) elements",,
